Author:,Owuna et al.,,,,,,
Title:,Viscosity of Hydrogen and Methane Blends: Experimental and Modelling Investigations,,,,,,
,,,,,,,
,,,atm to Mpa factor:,0.101325,,P to Pa*s factor:,0.1
0.5CH4 + 0.5H2,,,,,,,
T [K] ,P [Mpa],eta [µPa*s],,,,,
323.53,28.89,15.54,,,,,
323.53,24.32,14.98,,,,,
323.53,24.32,14.98,,,,,
323.53,24.33,14.98,,,,,
323.53,20.92,14.38,,,,,
323.53,17.28,13.90,,,,,
323.53,15.16,13.69,,,,,
323.53,10.63,13.25,,,,,
323.53,8.85,13.06,,,,,
323.53,7.49,12.86,,,,,
323.53,3.72,12.61,,,,,
323.53,1.75,12.43,,,,,
298.37,30.38,15.74,,,,,
298.37,27.80,15.32,,,,,
298.37,24.40,14.86,,,,,
298.37,20.87,14.23,,,,,
298.37,17.43,13.48,,,,,
298.37,13.93,13.08,,,,,
298.37,10.53,12.56,,,,,
298.37,7.01,11.98,,,,,
298.37,6.15,12.04,,,,,
298.37,2.72,11.58,,,,,
298.37,1.29,11.29,,,,,
273.42,29.71,15.54,,,,,
273.42,27.75,15.06,,,,,
273.42,24.30,14.41,,,,,
273.42,20.88,13.80,,,,,
273.42,17.50,13.05,,,,,
273.42,13.95,12.61,,,,,
273.42,10.45,11.84,,,,,
273.42,7.02,11.43,,,,,
273.42,4.05,10.96,,,,,
273.42,2.10,10.68,,,,,
273.42,1.02,10.54,,,,,
223.00,30.74,16.69,,,,,
223.00,27.70,15.70,,,,,
223.00,24.35,14.81,,,,,
223.00,20.91,13.90,,,,,
223.00,17.42,12.73,,,,,
223.00,13.61,11.63,,,,,
223.00,10.65,10.88,,,,,
223.00,10.65,10.88,,,,,
223.00,10.65,10.88,,,,,
223.00,7.05,10.19,,,,,
223.00,5.48,9.84,,,,,
223.00,2.86,9.40,,,,,
223.00,1.38,8.90,,,,,
